Date,Area,Building_name,Loop,Type,Usage
2017/02/14,北區,體育館,主迴路,行政,1306
2017/01/26,南區,圖資中心,主迴路,行政,1306
2016/12/27,北區,體育館,主迴路,行政,1306.25
2017/03/09,北區,環保大樓,主迴路,教學,1306.28
2016/12/06,北區,體育館,主迴路,行政,1306.31
2016/12/16,北區,科學一館,主迴路,教學,1306.38
2017/07/21,北區,第二餐廳,1F動力1,外租,1306.38
2017/06/20,北區,學生十一舍_研一舍,主迴路,宿舍,1307
2016/09/21,北區,學生十一舍_研一舍,主迴路,宿舍,1307
2017/04/08,北區,體育館,主迴路,行政,1307.19
2017/05/01,南區,土木結構,主迴路,教學,1307.5
2017/04/06,北區,學生九舍,主迴路,宿舍,1307.88
2017/01/31,南區,圖資中心,主迴路,行政,1308
2017/01/30,南區,圖資中心,主迴路,行政,1308
2016/11/19,南區,管理二館,主迴路,教學,1308
2017/05/10,北區,人社一館,主迴路,教學,1308.38
2016/11/22,北區,體育館,主迴路,行政,1308.63
2017/02/27,南區,研究生二舍,主迴路,宿舍,1309
2017/02/06,南區,交映樓,主迴路,教學,1309
2016/09/10,北區,體育館,主迴路,行政,1309.28
2017/08/18,北區,體育館,主迴路,行政,1309.38
2016/10/05,北區,人社二館,主迴路,教學,1309.88
2017/01/27,南區,圖資中心,主迴路,行政,1310
2017/01/07,南區,研究生二舍,主迴路,宿舍,1310.5
2016/12/31,北區,第二餐廳,主迴路,外租,1310.75
2017/03/08,北區,環保大樓,主迴路,教學,1311.63
2017/04/24,北區,環保大樓,主迴路,教學,1311.69
2017/02/07,南區,綜合一館,主迴路,教學,1312
2016/11/07,北區,工程二館,主迴路,教學,1312
2016/10/10,南區,研究生二舍,主迴路,宿舍,1312
2017/01/22,北區,第二餐廳,主迴路,外租,1312.25
2016/11/20,南區,管理二館,主迴路,教學,1313
2016/11/01,北區,學生十舍,主迴路,宿舍,1313.06
2017/03/14,北區,環保大樓,主迴路,教學,1313.14
2016/12/15,北區,體育館,主迴路,行政,1313.69
2017/08/24,北區,體育館,主迴路,行政,1314.19
2017/04/22,南區,研究生二舍,主迴路,宿舍,1314.5
2016/10/15,北區,科學一館,主迴路,教學,1314.75
2017/05/21,南區,土木結構,主迴路,教學,1315
2017/03/18,南區,綜合一館,主迴路,教學,1315
2016/11/13,北區,學生十舍,主迴路,宿舍,1315.47
2017/02/11,南區,研究生二舍,主迴路,宿舍,1315.5
2016/11/23,北區,學生九舍,主迴路,宿舍,1315.56
2017/08/11,北區,第二餐廳,1F動力1,外租,1315.63
2017/08/06,北區,科學一館,主迴路,教學,1315.75
2016/10/03,北區,第二餐廳,1F動力1,外租,1315.88
2017/03/17,南區,研究生二舍,主迴路,宿舍,1316
2017/01/15,南區,學生十二舍,主迴路,宿舍,1316
2017/01/08,南區,研究生二舍,主迴路,宿舍,1317
2017/03/01,北區,體育館,主迴路,行政,1317.06
2017/03/13,北區,環保大樓,主迴路,教學,1317.09
2016/09/17,南區,服務大樓,主迴路,行政,1317.25
2016/11/23,南區,服務大樓,主迴路,行政,1317.5
2016/09/13,北區,人社二館,主迴路,教學,1317.88
2017/04/24,北區,學生十舍,主迴路,宿舍,1318.19
2016/09/26,北區,管理一館,主迴路,教學,1318.25
2017/03/02,北區,科學一館,主迴路,教學,1318.81
2016/11/22,南區,服務大樓,主迴路,行政,1319
2017/05/05,北區,體育館,主迴路,行政,1319.06
2016/10/10,北區,學生十舍,主迴路,宿舍,1319.19
2016/09/21,北區,第二餐廳,1F動力1,外租,1319.38
2017/05/27,南區,交映樓,主迴路,教學,1319.5
2017/03/10,北區,科學一館,主迴路,教學,1319.63
2017/03/30,北區,體育館,主迴路,行政,1319.75
2016/11/09,北區,學生九舍,主迴路,宿舍,1319.75
2017/03/05,南區,研究生二舍,主迴路,宿舍,1320
2017/02/26,南區,研究生二舍,主迴路,宿舍,1320
2017/01/29,南區,圖資中心,主迴路,行政,1320
2017/01/28,南區,圖資中心,主迴路,行政,1320
2017/01/04,南區,服務大樓,主迴路,行政,1320
2016/09/14,北區,人社一館,主迴路,教學,1320.2
2016/09/02,北區,體育館,主迴路,行政,1320.38
2017/04/05,北區,環保大樓,主迴路,教學,1320.73
2017/08/24,北區,工程二館,主迴路,教學,1320.94
2017/03/04,南區,研究生二舍,主迴路,宿舍,1321
2016/10/07,北區,第二餐廳,1F動力1,外租,1321.75
2017/04/08,南區,研究生二舍,主迴路,宿舍,1322
2016/10/13,南區,服務大樓,主迴路,行政,1322
2017/01/15,北區,活動中心,主迴路,行政,1322.48
2017/03/11,南區,交映樓,主迴路,教學,1322.5
