weekday,時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
5,2017/3/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9809.13
6,2017/3/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8809.25
7,2017/3/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7988.25
1,2017/3/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8382.25
2,2017/3/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8546.75
3,2017/3/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9148
4,2017/3/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10507.5
5,2017/3/31,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10226.38
6,2017/4/1,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8100.13
7,2017/4/2,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7411.5
1,2017/4/3,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7293.25
2,2017/4/4,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7595
3,2017/4/5,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8513.25
4,2017/4/6,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9675.63
5,2017/4/7,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9976.38
6,2017/4/8,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9243.75
7,2017/4/9,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9488.63
1,2017/4/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11302.38
2,2017/4/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11034.13
3,2017/4/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10603.13
4,2017/4/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10591.75
5,2017/4/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10949.75
6,2017/4/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10382
7,2017/4/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10767.63
1,2017/4/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12259.75
2,2017/4/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12526.75
3,2017/4/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12770
4,2017/4/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12468.38
5,2017/4/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12468
6,2017/4/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9717.5
7,2017/4/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9296.5
1,2017/4/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10489.88
2,2017/4/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11284.38
3,2017/4/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11697.63
4,2017/4/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10386.5
5,2017/4/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9940.75
6,2017/4/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9053.75
7,2017/4/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9303.88
1,2017/5/1,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10994.38
2,2017/5/2,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12036.75
3,2017/5/3,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12520.63
4,2017/5/4,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12893.38
5,2017/5/5,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12969.38
6,2017/5/6,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11509.88
7,2017/5/7,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11118.63
1,2017/5/8,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12595
2,2017/5/9,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13008.88
3,2017/5/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13505.63
4,2017/5/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,14325.5
5,2017/5/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13443.25
6,2017/5/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11439
