weekday;date;area;bd_name;loop;types;Usage
4;2017/05/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;11626
5;2017/05/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;11695
6;2017/05/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;9020
7;2017/05/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;8915
1;2017/05/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;11819
2;2017/05/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;12107
3;2017/05/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;12190
4;2017/05/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;12832
5;2017/05/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;11990
6;2017/05/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;8996
7;2017/05/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;8789
1;2017/05/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;12424
2;2017/05/16;南區                  ;工程四館                ;主迴路                 ;教學                  ;10606
3;2017/05/17;南區                  ;工程四館                ;主迴路                 ;教學                  ;10840
4;2017/05/18;南區                  ;工程四館                ;主迴路                 ;教學                  ;11543
5;2017/05/19;南區                  ;工程四館                ;主迴路                 ;教學                  ;10914
6;2017/05/20;南區                  ;工程四館                ;主迴路                 ;教學                  ;9081
7;2017/05/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;9044
1;2017/05/22;南區                  ;工程四館                ;主迴路                 ;教學                  ;11757
2;2017/05/23;南區                  ;工程四館                ;主迴路                 ;教學                  ;12621
3;2017/05/24;南區                  ;工程四館                ;主迴路                 ;教學                  ;12776
4;2017/05/25;南區                  ;工程四館                ;主迴路                 ;教學                  ;11084
5;2017/05/26;南區                  ;工程四館                ;主迴路                 ;教學                  ;9990
6;2017/05/27;南區                  ;工程四館                ;主迴路                 ;教學                  ;7480
7;2017/05/28;南區                  ;工程四館                ;主迴路                 ;教學                  ;7466
1;2017/05/29;南區                  ;工程四館                ;主迴路                 ;教學                  ;8144
2;2017/05/30;南區                  ;工程四館                ;主迴路                 ;教學                  ;0
3;2017/05/31;南區                  ;工程四館                ;主迴路                 ;教學                  ;11284
4;2017/06/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;12840
5;2017/06/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;11770
6;2017/06/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;9788
7;2017/06/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;0
1;2017/06/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;11624
2;2017/06/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;12692
3;2017/06/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;13107
4;2017/06/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;13226
5;2017/06/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;12928
6;2017/06/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;10856
7;2017/06/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;10823
1;2017/06/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;13586
2;2017/06/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;13589
3;2017/06/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;11826
4;2017/06/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;10982
5;2017/06/16;南區                  ;工程四館                ;主迴路                 ;教學                  ;10395
6;2017/06/17;南區                  ;工程四館                ;主迴路                 ;教學                  ;8565
7;2017/06/18;南區                  ;工程四館                ;主迴路                 ;教學                  ;8351
1;2017/06/19;南區                  ;工程四館                ;主迴路                 ;教學                  ;10612
2;2017/06/20;南區                  ;工程四館                ;主迴路                 ;教學                  ;11852
3;2017/06/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;11885
4;2017/06/22;南區                  ;工程四館                ;主迴路                 ;教學                  ;12157
5;2017/06/23;南區                  ;工程四館                ;主迴路                 ;教學                  ;12009
6;2017/06/24;南區                  ;工程四館                ;主迴路                 ;教學                  ;9639
7;2017/06/25;南區                  ;工程四館                ;主迴路                 ;教學                  ;10005
1;2017/06/26;南區                  ;工程四館                ;主迴路                 ;教學                  ;12951
2;2017/06/27;南區                  ;工程四館                ;主迴路                 ;教學                  ;13389
3;2017/06/28;南區                  ;工程四館                ;主迴路                 ;教學                  ;13176
4;2017/06/29;南區                  ;工程四館                ;主迴路                 ;教學                  ;12897
5;2017/06/30;南區                  ;工程四館                ;主迴路                 ;教學                  ;12655
6;2017/07/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;10667
7;2017/07/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;10588
1;2017/07/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;13347
2;2017/07/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;13627
3;2017/07/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;13023
4;2017/07/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;13383
5;2017/07/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;12519
6;2017/07/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;10020
7;2017/07/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;10777
1;2017/07/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;13690
2;2017/07/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;13554
3;2017/07/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;13541
4;2017/07/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;13484
5;2017/07/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;12959
6;2017/07/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;6737
7;2017/07/16;南區                  ;工程四館                ;主迴路                 ;教學                  ;9211
1;2017/07/17;南區                  ;工程四館                ;主迴路                 ;教學                  ;12154
2;2017/07/18;南區                  ;工程四館                ;主迴路                 ;教學                  ;12859
3;2017/07/19;南區                  ;工程四館                ;主迴路                 ;教學                  ;12734
4;2017/07/20;南區                  ;工程四館                ;主迴路                 ;教學                  ;12885
5;2017/07/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;12507
6;2017/07/22;南區                  ;工程四館                ;主迴路                 ;教學                  ;10600
7;2017/07/23;南區                  ;工程四館                ;主迴路                 ;教學                  ;10747
1;2017/07/24;南區                  ;工程四館                ;主迴路                 ;教學                  ;13327
2;2017/07/25;南區                  ;工程四館                ;主迴路                 ;教學                  ;13196
3;2017/07/26;南區                  ;工程四館                ;主迴路                 ;教學                  ;13259
4;2017/07/27;南區                  ;工程四館                ;主迴路                 ;教學                  ;12824
5;2017/07/28;南區                  ;工程四館                ;主迴路                 ;教學                  ;12756
6;2017/07/29;南區                  ;工程四館                ;主迴路                 ;教學                  ;9890
7;2017/07/30;南區                  ;工程四館                ;主迴路                 ;教學                  ;9272
1;2017/07/31;南區                  ;工程四館                ;主迴路                 ;教學                  ;11117
2;2017/08/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;11608
3;2017/08/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;11958
4;2017/08/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;11878
5;2017/08/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;11493
6;2017/08/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;9578
7;2017/08/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;10073
1;2017/08/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;12804
2;2017/08/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;13446
3;2017/08/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;13277
4;2017/08/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;12831
5;2017/08/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;12099
6;2017/08/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;9782
7;2017/08/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;9825
1;2017/08/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;12492
2;2017/08/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;12551
