,Date,Weekday,Area,Building_name,Loop,Usage
359,2017-08-26,6,北區,中正堂,1F郵局L燈力,1.59
360,2017-08-27,7,北區,中正堂,1F郵局L燈力,1.59
361,2017-08-28,1,北區,中正堂,1F郵局L燈力,47.2
362,2017-08-29,2,北區,中正堂,1F郵局L燈力,69.8
363,2017-08-30,3,北區,中正堂,1F郵局L燈力,74.07
364,2017-08-31,4,北區,中正堂,1F郵局L燈力,57.01
365,2016-09-01,4,北區,中正堂,1F郵局P動力,75.73
366,2016-09-02,5,北區,中正堂,1F郵局P動力,75.37
367,2016-09-03,6,北區,中正堂,1F郵局P動力,33.08
368,2016-09-04,7,北區,中正堂,1F郵局P動力,32.98
369,2016-09-05,1,北區,中正堂,1F郵局P動力,78.38
370,2016-09-06,2,北區,中正堂,1F郵局P動力,78.66
371,2016-09-07,3,北區,中正堂,1F郵局P動力,75.03
372,2016-09-08,4,北區,中正堂,1F郵局P動力,74.34
373,2016-09-09,5,北區,中正堂,1F郵局P動力,75.69
374,2016-09-10,6,北區,中正堂,1F郵局P動力,76.01
375,2016-09-11,7,北區,中正堂,1F郵局P動力,32.85
376,2016-09-12,1,北區,中正堂,1F郵局P動力,76.41
377,2016-09-13,2,北區,中正堂,1F郵局P動力,78.57
378,2016-09-14,3,北區,中正堂,1F郵局P動力,76.87
379,2016-09-15,4,北區,中正堂,1F郵局P動力,34.02
380,2016-09-16,5,北區,中正堂,1F郵局P動力,34.01
381,2016-09-17,6,北區,中正堂,1F郵局P動力,34.24
382,2016-09-18,7,北區,中正堂,1F郵局P動力,34.37
383,2016-09-19,1,北區,中正堂,1F郵局P動力,77.71
384,2016-09-20,2,北區,中正堂,1F郵局P動力,77.38
385,2016-09-21,3,北區,中正堂,1F郵局P動力,76.34
386,2016-09-22,4,北區,中正堂,1F郵局P動力,76.34
387,2016-09-23,5,北區,中正堂,1F郵局P動力,78.44
388,2016-09-24,6,北區,中正堂,1F郵局P動力,33.27
389,2016-09-25,7,北區,中正堂,1F郵局P動力,33.72
390,2016-09-26,1,北區,中正堂,1F郵局P動力,78.53
391,2016-09-27,2,北區,中正堂,1F郵局P動力,33.55
392,2016-09-28,3,北區,中正堂,1F郵局P動力,33.95
393,2016-09-29,4,北區,中正堂,1F郵局P動力,76.91
394,2016-09-30,5,北區,中正堂,1F郵局P動力,78.02
395,2016-10-01,6,北區,中正堂,1F郵局P動力,32.63
396,2016-10-02,7,北區,中正堂,1F郵局P動力,32.66
397,2016-10-03,1,北區,中正堂,1F郵局P動力,75.64
398,2016-10-04,2,北區,中正堂,1F郵局P動力,76.51
399,2016-10-05,3,北區,中正堂,1F郵局P動力,75.77
400,2016-10-06,4,北區,中正堂,1F郵局P動力,74.84
401,2016-10-07,5,北區,中正堂,1F郵局P動力,76.15
402,2016-10-08,6,北區,中正堂,1F郵局P動力,33.7
403,2016-10-09,7,北區,中正堂,1F郵局P動力,33.58
404,2016-10-10,1,北區,中正堂,1F郵局P動力,33.74
405,2016-10-11,2,北區,中正堂,1F郵局P動力,77.52
406,2016-10-12,3,北區,中正堂,1F郵局P動力,78.02
407,2016-10-13,4,北區,中正堂,1F郵局P動力,76.34
408,2016-10-14,5,北區,中正堂,1F郵局P動力,76.31
409,2016-10-15,6,北區,中正堂,1F郵局P動力,33.88
410,2016-10-16,7,北區,中正堂,1F郵局P動力,33.84
411,2016-10-17,1,北區,中正堂,1F郵局P動力,77.02
412,2016-10-18,2,北區,中正堂,1F郵局P動力,79.34
413,2016-10-19,3,北區,中正堂,1F郵局P動力,75.72
414,2016-10-20,4,北區,中正堂,1F郵局P動力,76.11
415,2016-10-21,5,北區,中正堂,1F郵局P動力,76.9
416,2016-10-22,6,北區,中正堂,1F郵局P動力,32.95
417,2016-10-23,7,北區,中正堂,1F郵局P動力,32.91
418,2016-10-24,1,北區,中正堂,1F郵局P動力,81.3
419,2016-10-25,2,北區,中正堂,1F郵局P動力,73.7
420,2016-10-26,3,北區,中正堂,1F郵局P動力,75.27
421,2016-10-27,4,北區,中正堂,1F郵局P動力,77.34
