weekday;date;area;bd_name;loop;types;Usage
6;2017/03/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1233.5
7;2017/03/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1133
1;2017/03/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1736.5
2;2017/03/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1882
3;2017/03/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1720
4;2017/03/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1765.5
5;2017/03/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1603.5
6;2017/03/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1267.5
7;2017/03/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1223.5
1;2017/03/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1747
2;2017/03/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1898
3;2017/03/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1725
4;2017/03/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1817
5;2017/03/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1556
6;2017/03/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1315
7;2017/03/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1287
1;2017/03/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1734
2;2017/03/21;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1835
3;2017/03/22;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1721
4;2017/03/23;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1813
5;2017/03/24;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1575
6;2017/03/25;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1299
7;2017/03/26;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1219
1;2017/03/27;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1762.5
2;2017/03/28;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1949
3;2017/03/29;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1712.5
4;2017/03/30;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1774
5;2017/03/31;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1496
6;2017/04/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1075.5
7;2017/04/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1039.5
1;2017/04/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1057
2;2017/04/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1079
3;2017/04/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1241.5
4;2017/04/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1828.5
5;2017/04/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1690
6;2017/04/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1565
7;2017/04/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1331.5
1;2017/04/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2345
2;2017/04/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2142.5
3;2017/04/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1712
4;2017/04/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1777
5;2017/04/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1586.5
