weekday,時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
6,2017/1/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6992
7,2017/1/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6780.5
1,2017/1/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7619.5
2,2017/1/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7080
3,2017/1/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,5703.5
4,2017/1/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,3762.5
5,2017/1/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,3446
6,2017/1/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,3481.5
7,2017/1/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,3740.5
1,2017/1/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,3594
2,2017/1/31,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,3893
3,2017/2/1,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,5246
4,2017/2/2,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,5841
5,2017/2/3,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6115.5
6,2017/2/4,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,5772.5
7,2017/2/5,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,5982
1,2017/2/6,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6749.5
2,2017/2/7,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6908
3,2017/2/8,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7066.5
4,2017/2/9,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7566
5,2017/2/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7509
6,2017/2/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6857.5
7,2017/2/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6819.5
1,2017/2/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7178
2,2017/2/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7227.5
3,2017/2/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7285.5
4,2017/2/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7432
5,2017/2/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7463
6,2017/2/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7001
7,2017/2/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6865.5
1,2017/2/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7753.5
2,2017/2/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7815.5
3,2017/2/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7702.5
4,2017/2/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7775
5,2017/2/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7568.5
6,2017/2/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6793
7,2017/2/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6548
1,2017/2/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6383.5
2,2017/2/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6622.5
3,2017/3/1,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7163.5
4,2017/3/2,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7446
5,2017/3/3,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7333
6,2017/3/4,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6688
7,2017/3/5,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6700
1,2017/3/6,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7560
2,2017/3/7,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7887.5
3,2017/3/8,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7681
4,2017/3/9,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7567.5
