Date,Area,Building_name,Loop,Type,Usage
2017/08,南區,綜合一館,空大ML燈力,外租,4048.99
2017/08,南區,綜合一館,餐亭,外租,4195.84
2017/07,南區,綜合一館,餐亭,外租,4292.22
2017/07,南區,綜合一館,空大ML燈力,外租,4496.52
2017/04,南區,綜合一館,餐亭,外租,4570.44
2017/04,南區,綜合一館,空大ML燈力,外租,4755.18
2017/06,南區,綜合一館,空大ML燈力,外租,4811.61
2017/03,南區,綜合一館,餐亭,外租,4838.06
2016/12,南區,綜合一館,餐亭,外租,4897.09
2016/09,南區,綜合一館,餐亭,外租,5079.56
2017/06,南區,綜合一館,餐亭,外租,5160.56
2016/11,南區,綜合一館,空大MP動力,外租,5290.13
2016/11,南區,綜合一館,餐亭,外租,5625.38
2017/08,南區,綜合一館,空大MP動力,外租,7257.92
2017/06,南區,綜合一館,空大MP動力,外租,7690.49
2016/09,南區,綜合一館,空大MP動力,外租,7738.08
2017/07,南區,綜合一館,空大MP動力,外租,9462.45
2017/05,南區,綜合一館,空大ML燈力,外租,15068.12
2017/05,南區,綜合一館,空大MP動力,外租,16361.82
2017/02,南區,綜合一館,主迴路 ,教學,37963
2017/04,南區,綜合一館,主迴路 ,教學,49957
2016/12,南區,綜合一館,主迴路 ,教學,51528
2017/08,南區,綜合一館,主迴路 ,教學,56837
2016/10,南區,綜合一館,空大MP動力,外租,57552.72
2016/09,南區,綜合一館,主迴路 ,教學,58554
2017/07,南區,綜合一館,主迴路 ,教學,59403
2016/10,南區,綜合一館,棒球場照明 ,行政,59751.15
2017/05,南區,綜合一館,主迴路 ,教學,60444
2017/06,南區,綜合一館,主迴路 ,教學,61061
2016/10,南區,綜合一館,管科插座,教學,64002.32
2017/03,南區,綜合一館,空大MP動力,外租,67142.72
2016/10,南區,綜合一館,主迴路 ,教學,68374
2017/05,南區,綜合一館,管科插座,教學,70508.95
2017/03,南區,綜合一館,棒球場照明 ,行政,72899.93
2016/10,南區,綜合一館,管科ML燈力,教學,90496.92
2017/05,南區,綜合一館,管科ML燈力,教學,99831.2
2016/10,南區,綜合一館,管科MP動力,教學,140304.7
2017/01,南區,綜合一館,管科MP動力,教學,142308.6
2017/05,南區,綜合一館,管科MP動力,教學,149413.2
2016/10,南區,綜合一館,餐亭,外租,322380.8
2017/01,南區,綜合一館,餐亭,外租,337649.9
2017/05,南區,綜合一館,餐亭,外租,358156.1
2017/03,南區,綜合一館,空大ML燈力,外租,400584.1
2016/11,南區,綜合一館,主迴路 ,教學,7742991
2017/01,南區,綜合一館,主迴路 ,教學,7853744
2017/03,南區,綜合一館,主迴路 ,教學,7906112
2017/01,南區,綜合一館,管科插座,教學,13347580
2017/01,南區,綜合一館,管科ML燈力,教學,20935790
2016/09,南區,綜合一館,空大ML燈力,外租,114470900
2016/10,南區,綜合一館,空大ML燈力,外租,245510500
2016/11,南區,綜合一館,空大ML燈力,外租,554539400
2017/02,南區,管理二館,主迴路 ,教學,30163
2017/03,南區,管理二館,主迴路 ,教學,42109.5
2016/12,南區,管理二館,主迴路 ,教學,43909.5
2017/04,南區,管理二館,主迴路 ,教學,46436.5
2016/11,南區,管理二館,主迴路 ,教學,50769.5
2017/05,南區,管理二館,主迴路 ,教學,59363.5
2016/10,南區,管理二館,主迴路 ,教學,66001
2017/08,南區,管理二館,主迴路 ,教學,70191
2017/07,南區,管理二館,主迴路 ,教學,70842.5
2017/06,南區,管理二館,主迴路 ,教學,70949
2016/09,南區,管理二館,主迴路 ,教學,5775086
2017/01,南區,管理二館,主迴路 ,教學,6002545
2017/02,北區,管理一館,主迴路 ,教學,16063.75
2017/01,北區,管理一館,主迴路 ,教學,18712.63
2017/03,北區,管理一館,主迴路 ,教學,21471.19
2017/04,北區,管理一館,主迴路 ,教學,23474.44
2016/12,北區,管理一館,主迴路 ,教學,23924.25
2017/08,北區,管理一館,主迴路 ,教學,25850.06
2016/11,北區,管理一館,主迴路 ,教學,27131.5
2017/07,北區,管理一館,主迴路 ,教學,27669.63
2017/05,北區,管理一館,主迴路 ,教學,30093.88
2017/06,北區,管理一館,主迴路 ,教學,31214.06
2016/09,北區,管理一館,主迴路 ,教學,524313.4
2016/10,北區,管理一館,主迴路 ,教學,577197.8
2017/03,南區,圖資中心,咖啡廳 ,外租,1757.2
2017/04,南區,圖資中心,咖啡廳 ,外租,1760.56
2016/12,南區,圖資中心,咖啡廳 ,外租,1867.29
2016/09,南區,圖資中心,咖啡廳 ,外租,1868.05
2016/11,南區,圖資中心,咖啡廳 ,外租,1910.5
2017/06,南區,圖資中心,咖啡廳 ,外租,2102.09
2017/08,南區,圖資中心,咖啡廳 ,外租,2191.8
2017/07,南區,圖資中心,咖啡廳 ,外租,2206.34
2016/10,南區,圖資中心,咖啡廳 ,外租,96904.03
2017/01,南區,圖資中心,咖啡廳 ,外租,103190.2
2017/02,南區,圖資中心,咖啡廳 ,外租,103264.4
2017/05,南區,圖資中心,咖啡廳 ,外租,110517.6
2017/02,南區,圖資中心,主迴路 ,行政,151284
2017/03,南區,圖資中心,主迴路 ,行政,196592
2016/12,南區,圖資中心,主迴路 ,行政,211010
2017/04,南區,圖資中心,主迴路 ,行政,224616
2016/11,南區,圖資中心,主迴路 ,行政,241164
